0xC00021;Hiber;FC008400/22
0xC00022;Reserved for future use;FC008800/22
0xC00023;Reserved for future use;FC008C00/22
0xC00024;NTT (Nippon Telephone and Telegraph);FC009000/22
0xC00025;International Centre for Free and Open Source Software (ICFOSS);FC009400/22
0xC00026;N/A;FC009800/22
0xC00027;Reserved for future use;FC009C00/22
0xC00028;Lacuna Space;FC00A000/22
0xC00029;Andorra Telecom;FC00A400/22
0xC0002A;Xiamen Milesight IoT Co., Ltd.;FC00A800/22
0xC0002B;Grenoble Alps University;FC00AC00/22
0xC0002C;Reserved for future use;FC00B000/22
0xC0002D;Reserved for future use;FC00B400/22
0xC0002E;Spectrum;FC00B800/22
0xC0002F;Afnic;FC00BC00/22
0xC00030;Reserved for future use;FC00C000/22
0xC00031;Reserved for future use;FC00C400/22
0xC00032;Microshare Inc.;FC00C800/22
0xC00033;HEIG-VD;FC00CC00/22
0xC00034;Reserved for future use;FC00D000/22
0xC00035;Reserved for future use;FC00D400/22
0xC00036;Reserved for future use;FC00D800/22
0xC00037;Alperia Fiber;FC00DC00/22
0xC00038;First Snow Co., Ltd;FC00E000/22
0xC00039;Acklio;FC00E400/22
0xC0003A;Vutility;FC00E800/22
0xC0003B;Meshed Pty Ltd;FC00EC00/22
0xC0003C;Birdz;FC00F000/22
0xC0003D;Arthur D Riley & Co Ltd;FC00F400/22
0xC0003E;Komro GmbH;FC00F800/22
0xC0003F;RSAWEB;FC00FC00/22
0xC00040;Ceske Radiokomunikace;FC010000/22
0xC00041;CM Systems LLC;FC010400/22
0xC00042;MIOT Melita.io Technology GmbH;FC010800/22
0xC00043;PROESYS S.r.l.;FC010C00/22
0xC00044;MeWe, Inc;FC011000/22
0xC00045;Alpha-Omega Technology GmbH & Co. KG;FC011400/22
0xC00046;SSE Contracting Limted t/a Mayflower Smart Control;FC011800/22
0xC00047;VEGA Grieshaber KG;FC011C00/22
0xC00048;Afghan Wireless Communication Company;FC012000/22
0xC00049;API-K;FC012400/22
0xC0004A;Decstream LLC;FC012800/22
0xC0004B;Nova Track Ltd;FC012C00/22
0xC0004C;IMT Atlantique;FC013000/22
0xC0004D;Machines Talk;FC013400/22
0xC0004E;Yosensi Sp. z o.o.;FC013800/22
0xC0004F;The Saira 2.0, LLC dba The IoT Solutions;FC013C00/22
0xC00050;Neptune Technology Group;FC014000/22
0xC00051;myDevices;FC014400/22
0xC00052;Savoie Mont Blanc University;FC014800/22
0xC00053;Decentralized Wireless Foundation Inc;FC014C00/22
0xC00054;X-Telia Group Inc;FC015000/22
0xC00055;Deviceroy;FC015400/22
0xC00056;Eutelsat S.A.;FC015800/22
0xC00057;Bejing Dingtek Technology Corp. Ltd;FC015C00/22
0xC00058;The Things Network Foundation;FC016000/22
0xC00059;Quandify AB;FC016400/22
0xC0005A;Hutchison Drei Austria GmbH;FC016800/22
0xC0005B;Agrology, PBC;FC016C00/22
0xC0005C;mhascaro GmbH;FC017000/22
0xC0005D;Log5 Data;FC017400/22
0xC0005E;Citysens GmbH;FC017800/22
0xE00000;RESERVED;FE000000/21
0xE00010;RESERVED;FE000800/21
0xE00020;Techtenna b.v.;FE001000/21
0xE00030;LNX Solutions;FE001800/21
0xE00040;Cometa Sas;FE002000/21
0xE00050;Senwize B.V.;FE002800/21
